n,comps_QS,swaps_QS,comps_MS,swaps_MS,comps_HS,swaps_HS
21200,315212,71709,278270,612864,544954,286187
21300,324608,71531,279854,616064,547828,287722
21400,303793,72340,281327,619264,550940,289318
21500,311806,72428,282866,622464,553896,290881
21600,338107,72648,284337,625664,556830,292543
21700,315294,73335,285635,628864,559540,293906
21800,298670,74239,287049,632064,562050,295055
21900,294286,74790,288745,635264,565342,296939
22000,349317,73255,289833,638464,568236,298525
22100,319443,74465,291625,641664,570866,299708
22200,319859,75142,292982,644864,573958,301447
22300,328916,75897,294310,648064,576838,302913
22400,329014,76099,295899,651264,579894,304563
22500,326169,76535,297245,654464,582682,305804
22600,324601,76990,298697,657664,585452,307446
22700,336225,77609,300338,660864,588468,309044
22800,330287,77873,301929,664064,591210,310336
22900,355194,76652,303132,667264,593820,311719
23000,346140,77729,304554,670464,597004,313443
23100,343460,78150,306146,673664,599848,314951
23200,364412,78774,307679,676864,602784,316414
23300,344157,78960,309129,680064,605632,317980
23400,386879,78750,310530,683264,608636,319498
23500,359020,79265,312109,686464,611608,321142
23600,359576,79536,313444,689664,614060,322154
23700,347917,80855,314924,692864,617336,323986
23800,335507,81462,316241,696064,620122,325504
23900,360081,80760,318001,699264,623072,327154
24000,361393,81547,319399,702464,625942,328487
24100,364702,81516,320828,705664,628730,330095
24200,387825,81666,322239,708864,631844,331657
24300,364611,82569,323709,712064,634464,332941
24400,366591,83088,325113,715264,637558,334524
24500,390776,82245,326734,718464,640370,336047
24600,370340,83838,328168,721664,643366,337737
24700,384701,84043,329496,724864,646140,338964
24800,384096,83886,331089,728064,648892,340585
24900,388110,84661,332544,731264,652024,342274
25000,398083,84421,334065,734464,654998,343925
25100,397746,84589,335455,737664,657576,345064
25200,368823,86605,337149,740864,660526,346643
25300,390564,86289,338578,744064,663482,348375
25400,373357,87194,339970,747264,666588,349911
25500,397661,86883,341473,750464,669778,351446
25600,412054,86602,342952,753664,672538,352879
25700,377531,87841,344511,756864,675366,354449
25800,404494,87654,345683,760064,678042,355871
25900,410547,87838,347426,763264,681092,357343
26000,393054,89255,348847,766464,683662,358591
26100,394349,89413,350640,769664,686886,360444
26200,389783,90710,352024,772864,689996,362007
26300,443193,88408,353432,776064,692734,363369
26400,419962,89974,354879,779264,695454,364806
26500,419103,90306,356253,782464,698370,366390
26600,423447,91165,357950,785664,701114,367906
26700,391930,92269,359342,788864,704406,369544
26800,442656,90526,360841,792064,707368,371228
26900,415810,91955,362173,795264,710086,372432
27000,418393,92432,363734,798464,712728,373934
27100,456857,92234,365127,801664,715756,375332
27200,442525,92388,366693,804864,718778,377133
27300,420575,93831,368097,808064,722000,378795
27400,416467,94134,369780,811264,724546,380066
27500,442999,94445,371245,814464,727640,381642
27600,431216,94635,372719,817664,730360,383054
27700,458007,94381,374209,820864,733460,384539
27800,489453,95053,375541,824064,736304,386053
27900,463247,94656,377302,827264,739260,387818
28000,446809,96290,378695,830464,742238,389309
28100,463965,95370,380294,833664,745308,391123
28200,503742,95707,381622,836864,747786,392128
28300,433130,98240,383341,840064,750924,393774
28400,461109,97113,384588,843264,753868,395334
28500,460284,98234,386022,846464,756810,397018
28600,463588,98061,387859,849664,759840,398457
28700,442083,98569,389359,852864,762530,399890
28800,469743,99284,390521,856064,765790,401765
28900,455709,99970,392211,859264,768538,403071
